   .10000000     .00000000
  1.89710000  -47.98500000   10.53100000
  1.90820000  -47.95100000   11.25100000
  1.91930000  -47.91700000   11.97600000
  1.93040000  -47.88300000   12.70400000
  1.94150000  -47.84900000   13.43700000
  1.95260000  -47.81500000   14.17300000
  1.96370000  -47.78100000   14.91400000
  1.97480000  -47.74700000   15.65800000
  1.98590000  -47.71200000   16.40700000
   .40000000    1.05890000
   .00000000  -58.81300000  -58.81300000
   .01166800  -58.80400000  -58.80200000
   .02333600  -58.79600000  -58.78700000
   .03500400  -58.78800000  -58.76800000
   .04667200  -58.77900000  -58.74400000
   .05834000  -58.77100000  -58.71600000
   .07000800  -58.76300000  -58.68300000
   .08167600  -58.75500000  -58.64700000
   .09334400  -58.74700000  -58.60600000
   .10501000  -58.74000000  -58.56000000
   .11668000  -58.73200000  -58.51100000
   .12835000  -58.72500000  -58.45700000
   .14002000  -58.71800000  -58.39900000
   .15168000  -58.71100000  -58.33700000
   .16335000  -58.70400000  -58.27100000
   .17502000  -58.69800000  -58.20000000
   .18669000  -58.69200000  -58.12600000
   .19836000  -58.68700000  -58.04700000
   .21002000  -58.68200000  -57.96400000
   .22169000  -58.67700000  -57.87800000
   .23336000  -58.67200000  -57.78700000
   .24503000  -58.66900000  -57.69200000
   .25670000  -58.66500000  -57.59400000
   .26836000  -58.66200000  -57.49100000
   .28003000  -58.65900000  -57.38400000
   .29170000  -58.65700000  -57.27400000
   .30337000  -58.65600000  -57.16000000
   .31504000  -58.65500000  -57.04100000
   .32670000  -58.65500000  -56.91900000
   .33837000  -58.65500000  -56.79300000
   .35004000  -58.65600000  -56.66300000
   .36171000  -58.65700000  -56.53000000
   .37338000  -58.65900000  -56.39300000
   .38504000  -58.66200000  -56.25200000
   .39671000  -58.66600000  -56.10700000
   .40838000  -58.67000000  -55.95800000
   .42005000  -58.67500000  -55.80600000
   .43172000  -58.68100000  -55.65000000
   .44338000  -58.68700000  -55.49100000
   .45505000  -58.69500000  -55.32800000
   .46672000  -58.70300000  -55.16100000
   .47839000  -58.71200000  -54.99100000
   .49006000  -58.72200000  -54.81700000
   .50172000  -58.73300000  -54.64000000
   .51339000  -58.74400000  -54.45900000
   .52506000  -58.75700000  -54.27500000
   .53673000  -58.77100000  -54.08700000
   .54840000  -58.78500000  -53.89500000
   .56006000  -58.80100000  -53.70100000
   .57173000  -58.81700000  -53.50200000
   .58340000  -58.83400000  -53.30000000
   .59507000  -58.85200000  -53.09500000
   .60674000  -58.87100000  -52.88600000
   .61840000  -58.89100000  -52.67300000
   .63007000  -58.91100000  -52.45600000
   .64174000  -58.93200000  -52.23600000
   .65341000  -58.95400000  -52.01300000
   .66508000  -58.97700000  -51.78500000
   .67674000  -59.00000000  -51.55400000
   .68841000  -59.02400000  -51.31900000
   .70008000  -59.04900000  -51.08000000
   .71175000  -59.07400000  -50.83700000
   .72342000  -59.09900000  -50.59100000
   .73508000  -59.12600000  -50.34000000
   .74675000  -59.15300000  -50.08600000
   .75842000  -59.18000000  -49.82800000
   .77009000  -59.20800000  -49.56600000
   .78176000  -59.23700000  -49.30000000
   .79342000  -59.26500000  -49.03000000
   .80509000  -59.29500000  -48.75600000
   .81676000  -59.32400000  -48.47800000
   .82843000  -59.35500000  -48.19600000
   .84010000  -59.38500000  -47.91000000
   .85176000  -59.41600000  -47.62000000
   .86343000  -59.44700000  -47.32600000
   .87510000  -59.47900000  -47.02800000
   .88677000  -59.51000000  -46.72500000
   .89844000  -59.54200000  -46.41900000
   .91010000  -59.57500000  -46.10800000
   .92177000  -59.60700000  -45.79300000
   .93344000  -59.64000000  -45.47300000
   .94511000  -59.67300000  -45.15000000
   .95678000  -59.70600000  -44.82200000
   .96844000  -59.73900000  -44.49000000
   .98011000  -59.77200000  -44.15300000
   .99178000  -59.80500000  -43.81300000
  1.00340000  -59.83900000  -43.46800000
  1.01510000  -59.87200000  -43.11800000
  1.02680000  -59.90600000  -42.76400000
  1.03850000  -59.93900000  -42.40600000
  1.05010000  -59.97200000  -42.04300000
  1.06180000  -60.00600000  -41.67600000
  1.07350000  -60.03900000  -41.30400000
  1.08510000  -60.07200000  -40.92700000
  1.09680000  -60.10500000  -40.54600000
  1.10850000  -60.13700000  -40.16000000
  1.12010000  -60.17000000  -39.77000000
  1.13180000  -60.20100000  -39.37400000
  1.14350000  -60.23300000  -38.97400000
  1.15510000  -60.26400000  -38.56900000
  1.16680000  -60.29400000  -38.15900000
  1.17850000  -60.32400000  -37.74400000
  1.19010000  -60.35300000  -37.32400000
  1.20180000  -60.38200000  -36.89900000
